DATE,PRICE
2023- 01- 01,170
2022- 12- 25,186.05
2022- 12- 18,200.11
2022- 12- 11,288.42
2022- 12- 04,345.91
2022- 11- 27,336.31
2022- 11- 20,288.46
2022- 11- 13,271.51
2022- 11- 06,228.43
2022- 10- 30,283.03
2022- 10- 23,246.43
2022- 10- 16,204.12
2022- 10- 09,261.35
2022- 10- 02,285.04
2022- 09- 25,352.89
2022- 09- 18,286.58
2022- 09- 11,290.81
2022- 09- 04,378.29
2022- 08- 28,409.42
2022- 08- 21,640.36
2022- 08- 14,460.89
2022- 08- 07,395.8
2022- 07- 31,373.63
2022- 07- 24,351.92
2022- 07- 17,312.18
2022- 07- 10,200.29
2022- 07- 03,255.52
2022- 06- 26,240.94
2022- 06- 19,169.74
2022- 06- 12,201.8
2022- 06- 05,146.24
2022- 05- 29,159.84
2022- 05- 22,153.36
2022- 05- 15,147.96
2022- 05- 08,148.45
2022- 05- 01,137.5
2022- 04- 24,163.68
2022- 04- 17,171.39
2022- 04- 10,177.25
2022- 04- 03,228.54
2022- 03- 27,257.32
2022- 03- 20,236.61
2022- 03- 13,246
2022- 03- 06,311.06
2022- 02- 27,460.27
2022- 02- 20,225.55
2022- 02- 13,176.49